text,news_link,outlet,topic,type,label,label_opinion,biased_words
Hospitals across the country are laying off thousands of medical workers despite facing severe staff shortages as they treat an influx of patients infected with the coronavirus.,https://www.alternet.org/2020/04/cash-strapped-hospitals-lay-off-thousands-of-health-workers-despite-covid-19-staff-shortages/,Alternet,universal health care,left,0,Entirely factual,[]
"King’s defense understandably rang hollow, as he has a long history of making comments ranging from insensitive to downright unacceptable.",https://thefederalist.com/2019/01/29/saying-western-civilization-means-white-people-dumb-box-rocks/,Federalist,white-nationalism,right,1,Expresses writer’s opinion,['hollow']
President Donald Trump ridiculed former Secretary of State Colin Powell on Sunday for endorsing former Vice President Joe Biden for president.,https://www.breitbart.com/politics/2020/06/07/donald-trump-mocks-stiff-colin-powell-for-endorsing-joe-biden/,Breitbart,elections-2020,right,1,Somewhat factual but also opinionated,['ridiculed']
"""I know real power when I see it: the Divine Nine,"" he said, thanking the presidents of the Greek letter organizations for their attendance.",https://www.theblaze.com/news/biden-white-boy-not-stupid,TheBlaze,blm,nan,0,nan,nan
Warren has been reaching out to LGBT voters by condemning Christian schools that hold and teach a biblical worldview of human sexuality and marriage.,https://www.breitbart.com/politics/2020/01/30/elizabeth-warren-says-transgender-child-must-approve-education-secretary/,Breitbart,marriage-equality,nan,1,Somewhat factual but also opinionated,['biblical']
The Internet lashed out at Rep. Devin Nunes (R-CA) on Sunday after he told Americans to go to restaurants during the novel coronavirus pandemic.,https://www.alternet.org/2020/03/twitter-rips-raging-moron-devin-nunes-for-advising-public-gatherings-is-he-really-that-dumb/,Alternet,vaccine,nan,1,Somewhat factual but also opinionated,"['lashed', 'out']"
"A federal judge dismissed the United States women’s soccer team’s bid for equal pay on Friday, rejecting claims the players had been underpaid in a crushing defeat for the reigning world champions.",https://www.breitbart.com/news/judge-rules-against-us-womens-soccer-team-in-equal-pay-case-2/,Breitbart,sport,right,0,Somewhat factual but also opinionated,['crushing']
"Strava, which tracks the sports activity trends of some 50 million people in almost 200 countries, surveyed 25,000 runners and found that half of them say they either hate it or barely tolerate it, while only 8% love it.",https://www.reuters.com/article/us-sport-strava-running/fitness-app-strava-finds-love-hate-relationship-with-running-idUSKBN20C1HV,Reuters,sport,center,0,Entirely factual,[]
IKEA said then that the basis of the company’s culture is freedom of opinion and tolerance but it could not accept behavior that excluded others.,http://feedproxy.google.com/~r/breitbart/~3/tVs4GmYGbRc/,Breitbart,marriage-equality,nan,0,Entirely factual,[]
Joe Biden's Fourth of July message focused on America's long history of racial injustice -- from slavery to George Floyd's death -- as he called for Americans to strive to achieve the country's founding ideal of equality.,https://www.foxnews.com/politics/biden-america-tackle-systemic-racism-4th-of-july-message,Fox News,marriage-equality,nan,0,Entirely factual,[]
U.S. Treasury Secretary Steven Mnuchin said on Tuesday that Treasury Department lawyers had held “informational” discussions with the White House about an expected request from House Democrats for President Donald Trump’s tax returns.,https://www.reuters.com/article/us-usa-trump-tax/mnuchin-says-treasury-lawyers-consulted-white-house-on-trump-tax-returns-idUSKCN1RL2FJ,Reuters,taxes,center,0,Entirely factual,[]
"The SPLC last year released hundreds of emails of Stephen Miller,the architect of Trump’s immigration policies such as the child-parent separations at the border and the Muslim ban, in which he cited and promoted ""explicitly white nationalist websites.""",https://www.nbcnews.com/news/latino/el-paso-attack-marked-year-rise-white-nationalism-watchdog-reports-n1163201,MSNBC,white-nationalism,left,0,Entirely factual,[]
"It’s baked into Keon’s choice of an all-white senior leadership team, the snickers on stage at his racist antics, and the spectacle of Keon saying he is directing an “interdisciplinary” Inclusion, Diversity, and Equity team “to understand and address issues of importance to the Asian Pacific Islander community at PNW.”",https://www.thedailybeast.com/refusing-to-forgive-institutional-racism-is-not-cancel-culture,The Daily Beast,white-nationalism,nan,1,nan,nan
"Sanders' team feels he has been unfairly and inaccurately accused of sexism while Warren's allies took special offense to Sanders' campaign manager going on TV to say her recollection of events was a ""lie.""",https://www.nbcnews.com/politics/2020-election/warren-sanders-de-escalate-campaign-feud-over-contested-remark-n1115881?cid=public-rss_20200115,MSNBC,gender,left,0,Entirely factual,[]
"Witness, for instance, the wacky nonsense New York mayor and current Trump flunky Rudy Giuliani addressed to Salon's Roger Sollenberger during a text interview this week. ",https://feeds.feedblitz.com/~/634430635/0/alternet_all~Republicans-go-all-in-on-lies-hate-racism-fear-and-American-carnage/,Alternet,black lives matter,left,1,Somewhat factual but also opinionated,"['wacky', 'flunky']"
"Such criminalization would be accomplished via universal background checks, which Harris strongly supports.",https://www.breitbart.com/politics/2019/02/03/kamala-harris-gun-control/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,gun-control,right,0,No agreement,['strongly']
"The Trump administration made its anti-LGBTQ healthcare announcement on the fourth anniversary of the Pulse massacre, in Pride month.",https://www.thedailybeast.com/trumps-latest-dose-of-anti-trans-poison-is-cruel-and-utterly-predictable?source=articles&via=rss,Daily Beast,marriage-equality,nan,1,Somewhat factual but also opinionated,"['anti-LGTBQ', 'anti-LGBTQ']"
"Ensuring a level playing field for athletes during their Olympic preparations may not be possible due to the coronavirus pandemic but it is a challenge World Athletics will strive to overcome, its president Sebastian Coe said.",https://www.reuters.com/article/health-coronavirus-olympics-coe/olympics-securing-level-playing-field-may-not-be-possible-due-to-virus-coe-idUSL4N2BC10F,Reuters,sport,center,0,Entirely factual,[]
"Protesters in New Zealand’s Auckland city sat on the road after their peaceful march as they raised clenched fists in a sign of unity, solidarity and Black Power.",https://www.reuters.com/article/us-minneapolis-police-protests-newzealan/new-zealanders-protest-over-death-of-george-floyd-idUSKBN2381H6,Reuters,black lives matter,center,0,Entirely factual,[]
"Cuomo has been championed by the mainstream media for his response to the coronavirus pandemic in New York City, but his state-wide response to nursing homes deserves anything but the glowing praise he’s received.",https://thefederalist.com/2020/05/22/janice-dean-tragic-loss-exposes-andrew-cuomo-failed-response-coronavirus-nursing-homes/,Federalist,coronavirus,right,1,Somewhat factual but also opinionated,"['championed', 'glowing']"
"After too many episodes ramming down their throats that racism is wrong, the British Empire was bad, homosexuality is great, Victorian history looked like one great big United Colours of Benetton advert and that a female Doctor is better than a white male one, the series’s viewers have been abandoning it in their droves.",https://www.breitbart.com/europe/2020/02/25/going-woke-is-a-moral-duty-claims-bbc-head-of-drama/,Breitbart,marriage-equality,nan,1,Expresses writer’s opinion,"['ramming', 'down', 'their', 'throats']"
"Trump made his predecessor's posture toward Iran a centerpiece of his 2016 campaign, suggesting that a nuclear agreement worked out by President Barack Obama on behalf of the USA and five other nations was too soft on the country.",https://eu.usatoday.com/story/news/politics/2020/05/06/trump-vetoes-bipartisan-measure-limiting-his-military-powers-iran/5179263002/,USA Today,trump-presidency,center,0,Entirely factual,[]
"Biden infamously embodied that twisted idea when, while campaigning for president in 2020, he said that black voters aren't really black if they vote for Donald Trump.",https://www.theblaze.com/news/biden-white-boy-not-stupid,TheBlaze,blm,nan,1,nan,nan
"Of course, not everyone supports this liberal-libertarian liberaltarianism.  To name just one opponent, there’s Donald Trump. ",http://feedproxy.google.com/~r/breitbart/~3/h_wTCa6-K54/,Breitbart,taxes,right,1,Expresses writer’s opinion,"['liberaltarianism', 'liberal-libertarian']"
The president can’t handle criticism. Or facts that don’t paint him in the best-possible light.,http://www.nbcnews.com/politics/first-read/what-happens-when-president-can-t-handle-bad-news-n711281?cid=public-rss_20170124,MSNBC,abortion,nan,1,nan,nan
"Anticipating pushback from anti-LGBTQ groups over this monumental achievement, HRC worked to keep the newly awarded rights legal.",https://ucsdguardian.org/2020/03/08/sean-compas-and-his-path-from-student-to-teacher/,UCSD Guardian,marriage-equality,nan,1,nan,nan
"Conservative commentator Ben Shapiro wants you to know that he’s so pro-life, he wouldn’t even consider aborting baby Hitler.",https://www.huffpost.com/entry/ben-shapiro-anti-abortion-pro-life-rally-kill-baby-hitler_n_5c4201b8e4b0a8dbe1710b72,HuffPost,abortion,left,1,Expresses writer’s opinion,['Hitler']
"Sen. Kamala Harris (D-CA), the Democratic Party nominee for vice president, told 60 Minutes on Sunday evening that she believed that President Trump is a racist.",http://feedproxy.google.com/~r/breitbart/~3/Rs1giUo98fI/,Breitbart,islam,nan,0,Entirely factual,[]
"On the other hand, it’s also true that men often use the “it’s not me, it’s the world” cover to discourage women’s dreams and ambitions, and often for self-serving reasons.",https://www.alternet.org/2020/01/the-new-battle-over-sexism-hurts-both-warren-and-sanders-but-for-different-reasons/,Alternet,gender,left,0,Expresses writer’s opinion,[]
"Experts have warned that a total U.S. withdrawal from Syria, which is still embroiled in a chaotic civil war spawned eight years ago by protests against dictator Bashar al-Assad, would advance the interests of Iran and Russia.",https://www.alternet.org/2019/02/mitch-mcconnell-just-orchestrated-a-devastating-rebuke-to-trump-on-syria-a-sign-fractures-in-the-gop-may-be-growing-from-syria/,Alternet,international-politics-and-world-news,left,1,Entirely factual,"['embroiled', 'chaotic']"
"Campaigners for gender equality took to European city streets on Friday to mark International Women’s Day with celebrations and protests, while in Turkey police fired tear gas to break up a crowd of several thousand women in Istanbul in the evening.",https://www.reuters.com/article/us-womens-day/gender-equality-rights-on-agenda-on-international-womens-day-idUSKCN1QP18R?feedType=RSS&feedName=topNews,Reuters,gender,center,0,Entirely factual,[]
"Barring that, Trumpism will spread and infect our nation like a deadly cancer.",https://www.thedailybeast.com/laura-loomer-trumpy-bigot-embraced-by-the-florida-gop-could-actually-get-to-congress?source=articles&via=rss,Daily Beast,islam,nan,1,Expresses writer’s opinion,"['Trumpism', 'infect', 'deadly', 'cancer']"
"Civil rights activists across the United States for years have called for scaling back traditional policing, and the efforts have gained momentum through protests over the death of George Floyd in Minneapolis police custody last month.",https://www.reuters.com/article/us-minneapolis-protests-google/google-faces-employee-petition-to-end-tech-sales-to-police-idUSKBN23T3B3,Reuters,black lives matter,center,0,Entirely factual,[]
Media celebrate gay men like Andy Cohen and Anderson Cooper “having” babies via surrogate as totally normal.,https://thefederalist.com/2023/02/03/leftist-logic-adoption-is-more-traumatic-than-abortion-but-surrogacy-is-just-great/,The Federalist,abortion,nan,1,nan,nan
"The U.S. ambassador to Germany, Richard Grenell, doubled down on his defense of Vice President Mike Pence as Democratic presidential candidate Pete Buttigieg appears to have tried to put the feud with Grenell to rest.",http://feedproxy.google.com/~r/thedailybeast/articles/~3/efikHssTddw/trump-iran-and-where-the-forever-war-was-always-headed,Daily Beast,marriage-equality,nan,0,Entirely factual,[]
"Trump officials took to the Sunday shows today to, as usual, defend themselves and their incompetent leader from the latest scandals and demonstrations of incompetence.",https://feeds.feedblitz.com/~/629109976/0/alternet_all~Trump-officials-take-to-Sunday-shows-to-dodge-and-deflect-pandemic-responsibility/,Alternet,universal health care,left,1,Expresses writer’s opinion,"['incompetent', 'incompetence', 'scandals', 'demonstrations', 'of']"
The second case was on whether a person’s claimed sense of “gender identity” allowed them to claim workplace sex-discrimination against their transgender status.,http://feedproxy.google.com/~r/breitbart/~3/r2lZZYe_Q0w/,Breitbart,marriage-equality,nan,1,Somewhat factual but also opinionated,"['claimed', 'identity""', '""gender']"
Drowned out by the algorithm: Vaccination advocates struggle to be heard online,https://www.nbcnews.com/tech/tech-news/drowned-out-algorithm-pro-vaccination-advocates-struggle-be-heard-online-n976321,MSNBC,vaccines,left,1,Somewhat factual but also opinionated,"['Drowned', 'out']"
"Thousands marched through U.S. cities on Friday in Juneteenth observances marking the abolition of slavery more than a century and a half ago, an occasion freighted with special resonance this year amid America’s reckoning with its legacy of racism.",https://www.reuters.com/article/us-minneapolis-police-juneteenth/thousands-of-americans-demand-racial-justice-at-juneteenth-observances-idUSKBN23Q1EU,Reuters,blm,nan,0,Entirely factual,[]
Trump's payroll tax ploy ploy endangers Social Security — and it will have to be paid back next year,https://www.alternet.org/2020/09/trumps-payroll-tax-ploy-ploy-endangers-social-security-and-it-will-have-to-be-paid-back-next-year/,Alternet,taxes,left,1,Expresses writer’s opinion,['ploy']
The Times reported that Bill Gates had met in with Epstein multiple times ,https://www.reuters.com/article/uk-factcheck-bill-gates-epstein-island/false-claim-bill-gates-traveled-to-epsteins-island-multiple-times-idUSKBN22R2C6,Reuters,#metoo,center,0,Entirely factual,[]
Yale psychiatrist explains why the coronavirus pandemic and Donald Trump's irrational cult is a deadly combination,https://feeds.feedblitz.com/~/620219118/0/alternet_all~Yale-psychiatrist-explains-why-the-coronavirus-pandemic-and-Donald-Trump%e2%80%99s-irrational-cult-is-a-deadly-combination/,Alternet,vaccine,nan,1,Somewhat factual but also opinionated,"['irrational', 'cult', 'deadly']"
"But without that intervention, we must assume that the bus drivers were under instructions to leave them there, in a residential neighborhood on a frigid night, wearing only light clothing, not speaking the language, and having no idea where they were.”",https://www.alternet.org/former-reagan-speechwriter-rips-greg-abbott-for-his-cruel-and-heartless-immigration-stunts/,Alternet,immigration,nan,1,nan,nan
"Virginia, where Democrats took control of the legislature by promising stronger gun laws, has become the latest focal point for the contentious American debate around the right to bear arms. ",https://www.reuters.com/article/us-usa-guns-rally/fbi-arrests-three-alleged-neo-nazis-ahead-of-virginia-gun-rally-idUSKBN1ZF2B3?feedType=RSS&feedName=topNews,Reuters,gun control,center,0,Entirely factual,[]
"It's a vision based on an abandonment of globalism, a skepticism toward multiculturalism, a rejection of a government led by the ""elite,"" an embrace of religion, and an emphasis on ""national solidarity"" -- which Hawley believes has been broken by ""liberationist policies.""",https://www.msnbc.com/rachel-maddow-show/gop-senator-its-time-we-ended-the-cosmopolitan-experiment-msna1254571,MSNBC,middle-class,nan,1,nan,nan
"As Black Lives Matter rioters coursed through the city, Lightfoot attempted to lock the protesters out of the Loop area by raising the bridges over the Chicago River and blockading highway exits feeding into downtown.",http://feedproxy.google.com/~r/breitbart/~3/8PirF6lh-Dc/,Breitbart,marriage-equality,nan,1,Somewhat factual but also opinionated,['rioters']
"Donald Trump used his mighty Twitter platform to drum up business for his golf course in Los Angeles on Sunday. U.S. deaths from COVID-19 neared 80,000, but the president didn’t tweet about that. ",https://www.huffpost.com/entry/trump-golf-course-coronavirus_n_5eb8c594c5b6399f48040c77,HuffPost,trump-presidency,left,1,Somewhat factual but also opinionated,"['mighty', 'drum', 'up']"
Durkan is among Democratic mayors who have called for an end to violence at protests against racism and police brutality after Republican President Donald Trump used images of the destruction for his re-election campaign.,https://www.reuters.com/article/us-global-race-protests/federal-agents-pull-out-of-seattle-mayor-says-idUSKCN24U05A,Reuters,black lives matter,center,0,Entirely factual,[]
"Juneteenth, an annual U.S. holiday on June 19, has taken on greater significance this year following nationwide protests over police brutality and the deaths of George Floyd, Breonna Taylor, Rayshard Brooks and other African Americans.",https://www.reuters.com/article/us-minneapolis-police-juneteenth-factbox/what-is-juneteenth-and-how-are-people-commemorating-it-this-year-idUSKBN23N3A0,Reuters,blm,nan,0,Entirely factual,[]
"By threatening the kids and their families with deportation, the administration’s U.S. Citizenship and Immigration Services was effectively delivering death sentences.",http://www.msnbc.com/rachel-maddow-show/trump-admin-backs-plan-deport-critically-ill-children,MSNBC,immigration,left,1,No agreement,"['threatening', 'death', 'sentences']"
How a 'constitutionalist' Oregon sheriff rules his rural county like a personal fiefdom,https://www.alternet.org/2020/05/how-a-constitutionalist-oregon-sheriff-rules-his-rural-county-like-a-personal-fiefdom/,Alternet,gun control,left,1,Expresses writer’s opinion,['fiefdom']
"Bear in mind that none of these moneyed elites did anything to earn these extraordinary bonanzas. They didn’t work any harder, didn’t get smarter, didn’t add anything of value to society but simply reclined in luxury and let their money make money. ",https://www.alternet.org/2020/01/here-are-the-dirty-secrets-of-how-the-rich-become-the-uber-rich/,Alternet,middle-class,left,1,Expresses writer’s opinion,"['moneyed', 'elites', 'bonanzas']"
"Due to global overpopulation, giving birth is the worst thing you can do to the planet, MacCormack sustains, while insisting that she is not advocating wiping out the existing population but rather letting it die off.",http://feedproxy.google.com/~r/breitbart/~3/4ctYBUKneM0/,Breitbart,environment,right,0,Somewhat factual but also opinionated,[]
"The world’s economy has suffered a sharp contraction this year as measures to contain the spread of the virus have curbed transport, trade, and demand across the planet.",https://www.reuters.com/article/us-g20-saudi/g20-says-it-will-strive-for-fair-global-access-to-covid-19-vaccine-idUSKBN2820KH?il=0,Reuters,vaccine,nan,0,Entirely factual,[]
"In New York City, the national epicenter of the disease, the same racialized outcomes are observed, with more African Americans being hospitalized and dying from the disease than any other racial group, followed by Latinos.",https://www.alternet.org/2020/05/why-the-calls-of-trump-and-protesters-to-return-to-normal-are-acts-of-white-supremacy/,Alternet,coronavirus,left,1,Somewhat factual but also opinionated,['racialized']
"Overall, said Clayton, “just strengthening the mental health care system would be helpful.”",https://www.thedailybeast.com/climate-disaster-trauma-is-rewiring-our-brains-into-something-alarmingly-worse,The Daily Beast,environment,nan,0,nan,nan
"Trump, who denied accusations that he fired Comey in an effort to cover up alleged cooperation between his campaign and the Russians, also said Friday Nixon made a mistake in firing a number of aides who wound up providing evidence against him.",https://www.usatoday.com/story/news/politics/2020/05/08/donald-trump-said-he-learned-lot-richard-nixon-but-did-he/3095045001/?utm_source=feedblitz&utm_medium=FeedBlitzRss&utm_campaign=usatoday-newstopstories,USA Today,trump-presidency,center,0,No agreement,[]
"Ivanka Trump says she opposes the Alexandria Ocasio Cortez-spearheaded Green New Deal because she feels, deep down, that people prefer to earn money rather than having it given to them.",https://www.thedailybeast.com/wait-a-secondivanka-fing-trump-says-americans-prefer-to-own-their-own-money,The Daily Beast,universal health care,nan,1,nan,nan
Newly empowered Democrats in Washington and statehouses across the country are flexing their legislative muscle with a host of tax proposals that would affect billionaires and blue collar alike.,http://feeds.foxnews.com/~r/foxnews/politics/~3/Vjs9Fr9BZHs/dems-introduce-host-of-new-tax-proposals-at-state-and-federal-level,Fox News,middle-class,right,1,No agreement,"['legislative', 'muscle', 'flexing']"
"Supreme Court nominee Amy Coney Barrett argued in a dissent last year that felons should be allowed to own guns, a position Republicans on the Senate Judiciary Committee long opposed before defending President Donald Trump's nominee to replace Justice Ruth Bader Ginsburg on the bench.",https://www.alternet.org/2020/10/amy-coney-barrett-is-even-more-extreme-on-gun-rights-than-her-republican-defenders-in-the-senate/,Alternet,gun control,left,0,Entirely factual,[]
Anti-vaccine groups take dangerous online harassment into the real world,https://www.nbcnews.com/health/kids-health/anti-vaccine-groups-take-dangerous-harassment-offline-real-world-n1096461,MSNBC,vaccines,left,0,Somewhat factual but also opinionated,"['dangerous', 'harassment']"
The battle of Portland is just plain crazy — but what else would you expect in Donald Trump’s dystopian America?,https://www.alternet.org/2020/07/the-battle-of-portland-is-just-plain-crazy-but-what-else-would-you-expect-in-donald-trumps-dystopian-america/,Alternet,black lives matter,left,1,Expresses writer’s opinion,"['dystopian', 'crazy']"
Senator Kamala Harris (D-CA) tells Lawrence O'Donnell that Donald Trump fuming about a Black Lives Matter sign in front of Trump Tower is why the attention should be focused on passing the George Floyd Justice and Policing Act.,http://www.msnbc.com/the-last-word/watch/sen-harris-trump-does-not-feel-that-black-lives-matter-87341125833,MSNBC,blm,nan,1,Entirely factual,['fuming']
